Year,Month,Day,Hour,Day_of_Week,Weekend,Public_Holiday,Location,Zone_Type,Road_Type,Population_Density,Distance_to_Factory_km,Construction_Level,Season,Temperature_C,Humidity_Percent,Rainfall_mm,Wind_Speed_kmh,Wind_Direction,Atmospheric_Pressure_hPa,Traffic_Density,Vehicle_Count_Per_Hour,Rush_Hour,Industrial_Level,Green_Cover_Percent,Previous_Day_AQI,AQI_US
2021,1,1,12,Friday,No,No,Avissawella,Suburban,Main Road,6104,5.07,High,Northeast Monsoon,28.6,76.0,42.0,17.9,W,1007.6,2.32,10656.0,No,5,26,38.4,60.4
2021,1,1,22,Friday,No,No,Kotte (Sri Jayawardenepura Kotte),Urban,Main Road,4866,2.78,High,Northeast Monsoon,29.2,75.6,28.9,10.2,SE,1010.2,2.53,18173.0,No,6,23,77.9,83.4
2021,1,2,4,Saturday,Yes,No,Horana,Suburban,Secondary Road,4391,4.15,Medium,Northeast Monsoon,28.1,86.5,5.2,13.5,W,1015.7,0.77,6289.0,No,7,18,82.3,49.4
2021,1,2,22,Saturday,Yes,No,Kolonnawa,Commercial/Industrial,Main Road,7520,2.06,Medium,Northeast Monsoon,27.6,79.2,31.4,11.1,SW,1013.1,2.64,16020.0,No,7,9,60.0,93.8
2021,1,3,3,Sunday,Yes,No,Thalawathugoda,Suburban,Main Road,6785,5.08,High,Northeast Monsoon,27.3,83.2,20.6,11.5,S,1008.1,1.39,7901.0,No,6,25,70.6,48.6
2021,1,3,17,Sunday,Yes,No,Boralesgamuwa,Suburban,Secondary Road,5131,3.44,High,Northeast Monsoon,26.7,76.4,54.0,11.3,NW,1010.5,2.53,17470.0,Yes,4,17,60.5,92.1
2021,1,3,21,Sunday,Yes,No,Rajagiriya,Urban,Secondary Road,7338,4.54,Medium,Northeast Monsoon,29.7,85.8,22.7,13.9,NW,1007.9,2.52,15150.0,No,7,16,96.0,96.3
2021,1,3,23,Sunday,Yes,No,Kolonnawa,Commercial/Industrial,Highway,7938,1.28,High,Northeast Monsoon,29.0,81.8,16.3,23.8,SE,1010.6,1.99,11065.0,No,9,6,137.7,101.3
2021,1,5,6,Tuesday,No,No,Talawatugoda,Suburban,Secondary Road,5118,4.97,Low,Northeast Monsoon,27.4,87.2,45.8,10.0,NW,1010.7,1.89,12276.0,No,7,23,111.5,85.2
2021,1,5,12,Tuesday,No,No,Athurugiriya,Suburban,Secondary Road,5647,3.51,Low,Northeast Monsoon,29.1,85.8,27.4,15.8,S,1016.9,2.34,14881.0,No,6,12,83.6,83.1
2021,1,5,19,Tuesday,No,No,Rajagiriya,Urban,Secondary Road,7078,3.04,Medium,Northeast Monsoon,28.3,83.9,21.6,20.3,SW,1013.1,3.87,26682.0,Yes,7,19,96.4,115.6
2021,1,6,7,Wednesday,No,No,Maharagama,Urban,Main Road,5806,6.86,Low,Northeast Monsoon,28.7,89.6,85.7,13.8,W,1006.1,3.81,21785.0,Yes,7,20,104.6,110.5
2021,1,6,11,Wednesday,No,No,Thalawathugoda,Suburban,Secondary Road,5277,4.22,Low,Northeast Monsoon,28.7,88.0,104.0,9.5,SW,1011.8,2.18,15288.0,No,5,17,85.8,73.5
2021,1,6,23,Wednesday,No,No,Moratuwa,Urban,Highway,6450,4.29,Low,Northeast Monsoon,28.4,81.1,145.1,15.2,W,1011.2,2.34,12761.0,No,7,14,95.6,64.5
2021,1,7,12,Thursday,No,No,Hanwella,Suburban,Secondary Road,5019,6.49,High,Northeast Monsoon,27.3,92.9,31.7,11.9,SW,1008.6,2.69,13569.0,No,5,23,107.1,82.4
2021,1,8,10,Friday,No,No,Dehiwala-Mount Lavinia,Urban,Main Road,7373,6.66,Low,Northeast Monsoon,26.3,81.9,43.5,13.8,N,1012.8,2.6,17338.0,No,7,18,141.4,92.7
2021,1,8,12,Friday,No,No,Avissawella,Suburban,Secondary Road,4199,6.93,Low,Northeast Monsoon,27.0,87.5,43.4,16.6,NW,1015.9,2.77,13467.0,No,3,20,53.3,48.9
2021,1,8,18,Friday,No,No,Homagama,Suburban,Secondary Road,4961,7.14,Medium,Northeast Monsoon,29.9,83.1,88.2,16.2,W,1011.2,3.93,20999.0,Yes,6,19,42.9,79.7
2021,1,8,18,Friday,No,Yes,Nawala,Urban,Secondary Road,7736,3.55,Low,Northeast Monsoon,30.8,78.7,31.8,8.9,W,1005.5,3.46,19454.0,Yes,5,15,88.7,100.6
2021,1,9,2,Saturday,Yes,No,Peliyagoda,Commercial/Industrial,Highway,6412,2.37,Medium,Northeast Monsoon,28.1,80.1,66.9,17.3,N,1015.8,1.26,8473.0,No,8,13,129.3,75.8
2021,1,9,12,Saturday,Yes,No,Kaduwela,Suburban,Main Road,6223,6.29,High,Northeast Monsoon,26.1,67.9,40.2,12.3,N,1010.1,2.19,11986.0,No,6,27,41.6,63.6
2021,1,9,13,Saturday,Yes,No,Malabe,Suburban,Main Road,5699,3.06,Low,Northeast Monsoon,26.8,66.2,19.4,9.7,SW,1009.0,2.31,12472.0,No,6,18,68.3,108.7
2021,1,10,1,Sunday,Yes,No,Kaduwela,Suburban,Main Road,4198,6.55,High,Northeast Monsoon,27.7,79.3,44.2,8.4,S,1005.9,1.06,7472.0,No,6,22,35.0,50.1
2021,1,10,3,Sunday,Yes,No,Kesbewa,Suburban,Secondary Road,4730,5.84,Low,Northeast Monsoon,28.3,82.0,81.8,10.4,SW,1007.7,1.27,5275.0,No,5,12,51.5,55.8
2021,1,11,1,Monday,No,No,Kesbewa,Suburban,Secondary Road,5005,4.39,Low,Northeast Monsoon,27.7,77.2,50.2,12.5,E,1012.9,1.41,7228.0,No,3,22,62.9,45.4
2021,1,13,5,Wednesday,No,No,Nawala,Urban,Main Road,4384,5.7,Medium,Northeast Monsoon,28.2,85.9,112.3,9.1,NW,1019.2,2.0,12653.0,No,7,16,120.0,91.2
2021,1,13,12,Wednesday,No,No,Boralesgamuwa,Suburban,Secondary Road,5925,5.74,Low,Northeast Monsoon,28.0,82.9,27.9,14.4,NW,1009.8,1.99,14992.0,No,7,14,35.0,58.8
2021,1,14,20,Thursday,No,No,Rajagiriya,Urban,Main Road,7224,3.86,Low,Northeast Monsoon,27.8,77.6,124.4,14.8,SE,1009.4,3.07,17299.0,No,8,15,51.6,87.2
2021,1,15,7,Friday,No,No,Kotikawatta,Urban,Main Road,6222,1.52,Medium,Northeast Monsoon,28.6,82.9,105.4,19.1,NW,1006.6,4.23,27735.0,Yes,8,20,107.6,109.7
2021,1,15,13,Friday,No,No,Kolonnawa,Commercial/Industrial,Highway,9365,5.57,Medium,Northeast Monsoon,27.1,79.2,17.4,13.7,S,1004.6,2.96,19244.0,No,7,12,119.7,119.4
2021,1,15,15,Friday,No,No,Thalawathugoda,Suburban,Secondary Road,5534,4.81,Medium,Northeast Monsoon,28.1,81.4,5.8,19.0,NE,1009.7,2.23,14103.0,No,8,22,54.1,81.9
